Users,FollowingCount
mir_smi,184
unleasharchives,11
clancynewyork,766
ZachTanZM,114
MachinePix,36
femalegazebot,445
DamolaMore,604
Nigeria,15
EbenezarWikina,2732
Radiolab,1060
jcdl2018,5
effodu,1274
katestarbird,2722
ystvns,988
scientiffic,283
meangrape,3872
johnaberlin,440
WhatBrett,497
3Blue1Brown,141
dweinberger,971
oducs,73
b0rk,555
stanfordnlp,97
webrecorder_io,122
ThingsWork,1
tweetsauce,894
internetarchive,582
jessogden,1679
localmem,1
helgeho,86
ssfrug,421
mzagaja,501
walkeroh,753
AcademiaObscura,142
williamjturkel,4513
BergisJules,1062
documentnow,293
docmattweber,2089
Moha_Magdy,1857
edsu,3137
e_mccain,1133
ncasemajor,464
BKCHarvard,3281
MIT_CSAIL,9870
muira_mccammon,2322
HistoryInPics,271
HarvardLIL,277
zittrain,6307
abziegler,1299
shawnmjones,503
this_phillips,818
moffattchristie,251
machawk1,368
ibnesayeed,304
ruebot,957
f_nanni,955
srocheleau,341
anjacks0n,898
AllisonHegel,319
pj_webster,3342
nullhandle,437
KatherineRCook,1683
jeremyw,824
lintool,662
ianmilligan1,1689
hvdsomp,401
icanhazmemento,1
_wdill,0
yasmina_anwar,419
mart1nkle1n,759
aalsum,313
justinfbrunelle,185
weiglemc,165
Galsondor,183
WebSciDL,48
phonedude_mln,377
